Company Name	Majors Recruited	Work Authorization Desired	Position Types
Hirata Corporation of America	"Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Full Time, Part Time"
Honda	"Electrical Engineering, Mechanical Engineering, Computer Engineering"	US Citizen	"Full Time, Co-op"
Honeywell FM&T	"Chemical Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	Full Time
"Hunt Construction Group, An AECOM Company"	"Civil Engineering, Electrical Engineering"	US Citizen	"Internship/Externship, Full Time, Part Time"
HUSCO Automotive	Mechanical Engineering		"Internship/Externship, Full Time, Co-op"
Indiana Department of Transportation (INDOT)	Civil Engineering	US Citizen	"Internship/Externship, Full Time, Part Time, Co-op"
"Indigo Biosystems, Inc."	"Computer Science, Computer Engineering"		"Internship/Externship, Full Time"
"Infrastructure Engineering, Inc."	Civil Engineering		Full Time
Ingredion Incorporated	"Chemical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Co-op"
Intelligrated	"Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering, Computational Science"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Co-op"
"Interactive Intelligence, Inc."	"Computer Science, Computer Engineering, Software Engineering"	US Citizen	"Internship/Externship, Full Time, Co-op"
"Ivani, LLC"	"Electrical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	US Citizen	Full Time
Jacobs Technology Inc.	"Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	US Citizen	Full Time
"Janssen & Spaans Engineering, Inc."	Civil Engineering	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
"KINZE Manufacturing, Inc."	"Math, Computer Science, Electrical Engineering, Mechanical Engineering, Software Engineering"	"US Citizen, Permanent Resident"	"Full Time, Co-op"
KJWW Engineering Consultants	"Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	Full Time
LG&E KU	"Civil Engineering, Electrical Engineering, Mechanical Engineering"		"Internship/Externship, Full Time, Co-op"
LHP	"Electrical Engineering, Mechanical Engineering, Software Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Full Time, Part Time"
