companyName,companyMajor,companyWorkAuth,companyPositionType,companyDetailLink,companyDetailLink-href,companyDetailDescription,companyDetailIndustry,companyDetailAddress,companyDetailWebsite,companyDetailWebsite-href,Top CareerFair,Top CareerFair-href
"Microsoft Corporation","Math, Computer Science, Electrical Engineering, Computer Engineering, Physics, Software Engineering, Electrical and Computer Engineering, Computational Science","US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa","Internship/Externship, Full Time","Microsoft Corporation","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=45c03f127aa4cf37664de253606e1445&cf=e5d9f79a792ad8b692446643c14c30f1&cfc=694510576a0197dcc2118cd41162bae0&sss=","No matter what your passion is, you’ll find it here.  Imagine the opportunities you’ll have in a company with 100,000 employees in more than 100 countries, working on hundreds of products—spanning games, phones, developer tools, business solutions and operating systems.  We work hard, but we value work/life balance, and each of us defines what that means to us.  So why not explore what we do, where we do it, and what life is really like at Microsoft.  You just might be surprised.","Computer Science/Software Engineering","One Microsoft Way
Redmond, WA
98052","Website","http://www.microsoft.com/university","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Duke Energy Corporation","Computer Science, Civil Engineering, Electrical Engineering, Mechanical Engineering","US Citizen, Permanent Resident","Internship/Externship, Co-op","Duke Energy Corporation","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=68a0b452791c333cccc06e8a1d5cae20&cf=96efc4f8c84a08d7d6c1adb40ce49ea8&cfc=694510576a0197dcc2118cd41162bae0&sss=","Duke Energy makes life better for millions of people every day by providing electric and gas services in a sustainable way – affordable, reliable and clean.



We are the largest electric power holding company in the United States, supplying and delivering energy to approximately 7.3 million U.S. customers. We have approximately 57,500 megawatts of electric generating capacity in the Carolinas, the Midwest and Florida – and natural gas distribution services in Ohio and Kentucky. Our commercial and international businesses own and operate diverse power generation assets in North America and Latin America, including a portfolio of renewable energy assets.



Headquartered in Charlotte, N.C., Duke Energy is a Fortune 250 company traded on the New York Stock Exchange under the symbol DUK.","Energy/Utilities","1000 E. Main St.
Plainfield, IN
46168","Website","http://www.duke-energy.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Allstate Insurance Corporation","Math, Computer Science, Chemical Engineering, Computer Engineering, Physics, Software Engineering, Electrical and Computer Engineering, Computational Science","US Citizen","Internship/Externship, Full Time","Allstate Insurance Corporation","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=a59f63bee8d5ed8cb53ca57b4c1298e2&cf=48400139fed76ed189c3f29a769ef69f&cfc=694510576a0197dcc2118cd41162bae0&sss=","We are insurance. We are financial services. We are also so much more. We are lawyers, writers, developers, accountants, engineers, application developers, project managers and human resource specialists. We are creative, driven, passionate, fearless and curious. Our unique culture of inclusion helps us maximize innovation and creativity. We believe that welcoming differing ideas, cultures and backgrounds gives us a competitive advantage in a diverse, global marketplace. At Allstate, it's our differences that drive our success, as individuals and as a company. We celebrate creative problem-solving as we work together to make a difference in our communities. We believe in providing the very best tools and resources available to help keep our customers, and our employees, in Good Hands.","Insurance","51 W. Higgins Rd., Suite R1A
South Barrington, IL
60010","Website","http://allstate.com/jobs","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Bostik","Chemical Engineering, Chemistry","US Citizen","Internship/Externship","Bostik","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=cb091e4d5f146345904f2f52b293a02a&cf=59fa9a4063a15a90d079cf883587e2b7&cfc=694510576a0197dcc2118cd41162bae0&sss=","As one of the largest adhesive and sealant companies in the world, Bostik designs, manufactures, and markets bonding solutions within a variety of Business Units: Industrial Adhesives (Converting, Assembly, Packaging, Transportation, Flexible Packaging and Industrial Laminations); Consumer and Construction (Flooring Installation Systems, Construction Sealants and Adhesives); and Global Nonwovens (Disposable Hygiene). Bostik is well positioned as part of Arkema's High Performance Materials segment.  A global chemical company and France’s leading chemicals producer, Arkema is building the future of the chemical industry every day.","Manufacturing","11320 Watertown Plank Road
Wauwatosa, WI
53226","Website","http://www.bostik-us.com/index.asp?fa=home","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Allegient, LLC","Computer Science, Software Engineering","US Citizen, Permanent Resident, F-1 Student Visa","Internship/Externship, Full Time","Allegient, LLC","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=5a146c2ea4623db05095a578a9f61107&cf=49c6b8f9f39694e78724407b6171e859&cfc=694510576a0197dcc2118cd41162bae0&sss=","Allegient is a team of elite business and IT consultants that represent the best minds in the industry. Our focus is on solving business problems via expertly designed technology solutions. Headquartered in Indianapolis since 2001 with an office in Chicago, Allegient is known for being both business focused and tech savvy. With a challenging and innovative work environment, fantastic benefits and a focus on work/life balance, it’s no wonder we’ve been named one of Indiana’s Best Places to Work for five years. As a local Microsoft go-to partner, we’ve been recognized consistently as one of Indy’s largest and fastest growing consulting firms and have landed on the Inc. 5000 list of fastest growing companies for three years in a row.","Computer Science/Software Engineering, Consulting","201 W. 103rd Street
Greenwood, IN
46290 United States","Website","http://www.allegient.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Appriss","All Majors, Computer Engineering","","Internship/Externship, Full Time, Co-op","Appriss","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=bf816c801863a12849ba2d9cf65ab2df&cf=d4a35eb0a71d2bfe42012190ab035a0e&cfc=694510576a0197dcc2118cd41162bae0&sss=","We combine cutting-edge technology with a community focused mission that enables us to create innovative tools that keep our communities safe and informed. Our products serve thousands across the U.S. on a daily basis through victim notification and pseudoephedrine tracking, as well as a variety of information sharing and data aggregation tools. We’ve recognized the power of technology to enhance and improve lives and we’re harnessing that power daily as we push ourselves to develop new tools to address problems. Our employees thrive in a in a environment, where creativity, continued learning and teamwork are valuable to the working environment. Administration is committed to creating a flexible, performance-based work environment that enables the creativity and productivity of employees.","Computer Science/Software Engineering","10401 Linn Station Rd.
Louisville, KY
40223","Website","http://appriss.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Rincon Research Corporation","Math, Computer Science, Electrical Engineering, Computer Engineering, Physics, Software Engineering, Engineering Physics, Electrical and Computer Engineering","US Citizen","Internship/Externship, Full Time","Rincon Research Corporation","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=0643ae2d00bfcd8b8e988f20a900f5bb&cf=e3c3aff1bfc74798360523677664d13f&cfc=694510576a0197dcc2118cd41162bae0&sss=","At Rincon Research Corporation, our core business is to design, build, test, and field digital signal processing (DSP) products and services for the United States Defense and Intelligence communities. We use our superior expertise to serve our customers with a range of technologies:



•   Signals collection, analysis, and processing 

•   GPS Applications 

•   DSP systems development 

•   DSP infrastructure development 

•   Orbit analysis 

•   High-performance electronics development and production 



We deploy our pioneering technologies for the U.S. Government worldwide to help ensure our national security, combat terrorist threats, and safeguard vital national resources.","Computer Science/Software Engineering, Defense, Engineering - Electrical","101 N. Wilmot, Suite 101
Tucson, AZ
85711","Website","http://www.rincon.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Harshaw Trane","Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Environmental Engineering-GR Only, Electrical and Computer Engineering, Syst Engr & Mgmt Internat'l","US Citizen","Full Time","Harshaw Trane","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=683905074b4301f26522f87d0fa67fdb&cf=476f09086e05506ec28807ef2843da65&cfc=694510576a0197dcc2118cd41162bae0&sss=","At Harshaw Trane, our commitment to sustainability is more than just being green. The Harshaw Trane approach to creating the right comfort and critical control environment is deeply rooted in our commitment to offering systems, solutions and services that support energy efficiency and maximize indoor air quality, and take a sustainable approach to the environment. We believe in optimizing facility assets for life and in doing so create a healthy and comfortable indoor environment. These environments increase productivity

and lower total cost of ownership by reducing energy requirements and environmental impact. Our sustainability efforts are a big part of our philosophy to make a difference every day and improve the communities in which we work.","Construction, Energy/Utilities, Engineering - Mechanical","1800 Plantside Drive
Louisville, KY
40299","Website","http://www.harshawtrane.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Ingredion Incorporated","Chemical Engineering, Mechanical Engineering","US Citizen","Internship/Externship, Full Time, Part Time","Ingredion Incorporated","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=8588a7d785a7c571faf041f75d064d71&cf=898ced991a30675c4349bae31df0758f&cfc=694510576a0197dcc2118cd41162bae0&sss=","Ingredion Incorporated is a leading global ingredient solutions provider to the food, beverage, brewing and pharmaceutical industries as well as numerous industrial sectors.  We are committed to supplying our customers with quality, innovative ingredient solutions that are on trend and in demand. 

 

Headquartered in the Chicago suburb of Westchester, Illinois, we turn corn, tapioca, potatoes and other raw materials into a myriad of ingredients. With more than 11,000 employees around the world, we serve customers in more than 60 diverse markets in over 100 countries.  In 2014, our net sales were $5.7 billion.","Engineering - Chemical, Manufacturing","6400 S Archer Ave
Bedford Park, IL
60513","Website","http://www.ingredion.com/careers","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Cetani","Computer Science, Computer Engineering, Environmental Engineering-GR Only, Software Engineering","US Citizen, Permanent Resident","Internship/Externship, Full Time","Cetani","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=1282e36b264cb70f078d6883806a6b10&cf=2a2be8df7028d891dce7e3c81111f2e0&cfc=694510576a0197dcc2118cd41162bae0&sss=","Cetani provides visualization and alerting software for real-time indoor location and environmental monitoring systems.  We're a privately-held Indianapolis-based company with many Rose-Hulman graduates as employees.","Computer Science/Software Engineering, Consulting, Engineering - Computer","11495 N Pennsylvania St, Suite 240
Carmel, IN
46032","Website","http://www.cetani.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
