companyName	companyMajor	companyWorkAuth	companyPositionType	companyDetailLink	companyDetailLink-href	companyDetailDescription	companyDetailIndustry	companyDetailAddress	companyDetailWebsite	companyDetailWebsite-href	topCareerFair	topCareerFair-href	showAllLink	showAllLink-href
Brooksource	"Computational Science, Computer Engineering, Computer Science, Electrical and Computer Engineering, Software Engineering"	"US Citizen, Permanent Resident"	"Full Time, Part Time, Internship/Externship"	Brooksource	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=15ad743532006cc016426702726e0eb2&cf=b762a37f3e8c49619dabfd464a29aae8&cfc=694510576a0197dcc2118cd41162bae0&sss=	"University recruiting is an important element of the Brooksource success story. Technical Youth, our entry and junior-level recruiting division, matches current students or recent graduates with internships, project work or even a first full-time job right out of school.  



Brooksource is an accomplished recruiting firm headquartered in Indianapolis that primarily staffs IT and technical resources in every business segment. We bridge the gap for our clients by linking them with the top talent in the IT industry."	"Computer Science/Software Engineering, Engineering - Computer"	null	Website	https://www.brooksource.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Thieneman Construction, Inc."	Civil Engineering		"Full Time, Co-op, Internship/Externship"	"Thieneman Construction, Inc."	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=99b821198eb913aa9cbdea442c07d827&cf=9d07348b1877de7a893b242b292b3820&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Thieneman Construction is a rapidly growing environmental contractor, constructing municipal and industrial water and wastewater facilities across the upper midwestern United States."	Construction	null	Website	http://www.thienemanconstruction.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Powers Engineering, Inc."	Civil Engineering		"Full Time, Internship/Externship"	"Powers Engineering, Inc."	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=ca283e632214bb3b5b584866fb252fb0&cf=98f9c1c1e2ee08e5e3503efe18da7aea&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Powers Engineering, Inc. is a civil engineering firm specializing in water resources.  We offer our clients an extensive array of services encompassing water, wastewater, and stormwater planning, modeling, and design."	Engineering - Civil	null	Website	http://www.powersengineeringinc.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
ARCO National Construction	Civil Engineering	"US Citizen, Permanent Resident"	"Full Time, Co-op, Internship/Externship"	ARCO National Construction	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=4676c3c4eb9b8c9d8764a7c67e011002&cf=347f322129e2972d0cad21351a78f6d6&cfc=694510576a0197dcc2118cd41162bae0&sss=	"ARCO has become a leader in the design/build industry with offices in 10 major markets. As the 34th largest design/build general contractor, ARCO offers the strength and presence of a national builder with the personalized attention of a small company. As a Project Manager at ARCO, you will be given the opportunity to quarterback a project from concept to completion within your first 2 years. There is no limit to what a PM can achieve at ARCO, and that’s what makes the possibilities here truly unique."	"Construction, Engineering - Civil"	null	Website	http://www.arconational.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Manufacturing Technology, Inc. (MTI)"	"Chemical Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering"	US Citizen	"Full Time, Co-op, Internship/Externship"	"Manufacturing Technology, Inc. (MTI)"	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=898a4a73b6f2a80a427b3bb1729ff8f2&cf=3f06073f605cffbaf9960f403d755141&cfc=694510576a0197dcc2118cd41162bae0&sss=	"MTI is a privately held company headquartered in South Bend, Indiana, specializing in transformational, custom-engineered joining solutions for manufacturing processes. Our leading-edge expertise is available on site worldwide. An ISO 9001, AS9100, and NADCAP registered company, we also provide contract services at our 65,000 SF facility in South Bend, as well as at MTI Welding Technologies, Ltd. in Kingswinford, England."	"Engineering - Electrical, Engineering - Mechanical, Manufacturing"	null	Website	http://www.mtiwelding.com/career_information	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
MIT Lincoln Lab	"Biochemistry, Biology, Biomedical Engineering, Computational Science, Computer Engineering, Computer Science, Electrical and Computer Engineering, Electrical Engineering, Engineering Physics, Math, Mechanical Engineering, Physics"	US Citizen	"Full Time, Co-op"	MIT Lincoln Lab	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=b40faf29dc96beba21f7c72adb8931f4&cf=943df7bef9bb924697239ed35a0a63e3&cfc=694510576a0197dcc2118cd41162bae0&sss=	"At MIT Lincoln Laboratory, diverse teams of technical experts develop groundbreaking solutions to problems of national security. Our R&D efforts span ten key mission areas: space control; air and missile defense; communication systems; cyber security and information sciences; intelligence, surveillance, and reconnaissance systems and technology; advanced technology (electronic or electro-optical technologies, biotechnology and chemistry); tactical systems; homeland protection; air traffic control; and engineering innovative systems to test new concepts. For agile thinkers, excited by the freedom to develop and execute novel ideas and test them in sophisticated real-world simulations, Lincoln Laboratory offers abundant opportunities and resources. Learn more at www.ll.mit.edu."	Research	null	Website	http://www.ll.mit.edu/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
MTS Systems Corporation		"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa"	"Full Time, Internship/Externship"	MTS Systems Corporation	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=3e838e41de6e16b4190aae002f5f03f8&cf=66275390e0e23952e5d7a55e6e4a01ef&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Industry-Leading Testing and Sensing Solutions 



Researchers, product developers and manufacturers worldwide rely on MTS Systems Corporation to provide industry-leading testing and sensing solutions. Our products, services and unrivaled expertise allow customers to develop higher-quality products faster and more efficiently, optimizing the performance and reliability of everything from automobiles and aircraft to bridges and buildings to construction equipment and more. Working closely with innovators in industries from energy and aerospace to mobile hydraulics, bio-medical devices and civil engineering, MTS forges partnerships that produce pioneering technologies and redefine precision and control."	"Computer Science/Software Engineering, Engineering - Computer, Engineering - Electrical"	null	Website	http://www.mts.com/en/index.htm	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Black & Veatch			"Full Time, Co-op, Internship/Externship"	Black & Veatch	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=e4e104db4df01fc896fdb027fd4bdb8d&cf=0fe9f207d3d5ebf26004baf66c3a66bb&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Black & Veatch is a global leader in the consulting, engineering, construction and operation of what the world needs now and in the future in the crucial areas of energy, water and telecommunications and in providing up-to-the-minute services in the fast changing federal and environmental markets. Founded in 1915, the employee-owned,$2.3 billion company operates out of over 110 offices worldwide and has completed projects in more than 100 countries."	"Construction, Energy/Utilities, Engineering - Chemical, Engineering - Civil, Engineering - Electrical, Engineering - Mechanical, Environmental"	null	Website	http://bv.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Smith & Burgess LLC	Chemical Engineering		Full Time	Smith & Burgess LLC	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=ffa2645a55659988f7ae1ab4075a24f5&cf=7cb053a721a95b3e22cbb010549f2ab9&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Smith & Burgess is a global process safety management and engineering consulting firm. We are trusted process safety advisors to the world's leading processors of highly hazardous chemicals. We use our collective engineering knowledge and process safety expertise to solve our clients' problems.  We focus our attention to find cost effective, safe resolutions that meet corporate and regulatory requirements. We are passionate about process safety and are dedicated to assisting our clients worldwide."	"Computer Science/Software Engineering, Consulting, Engineering - Chemical"	null	Website	http://smithburgess.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Pondurance, LLC"	"Computational Science, Computer Engineering, Software Engineering"	None	"Full Time, Internship/Externship"	"Pondurance, LLC"	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=4264e91aeb3e6796f08692b1b230cf56&cf=781ffaaff960df1745ed7c05c19c03f2&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Pondurance was founded in 2008 and has since become one of the leading information security solution providers in the Midwest. Our experts set, follow and develop the latest industry trends and cutting-edge security technologies. Our breadth of experience allows the team to provide clients with a formidable yet entrepreneurial ally in information security. We are proud to call many of the leading companies throughout the Midwest our clients, partners and trustees."	Engineering - Computer	null	Website	http://www.pondurance.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
